message_id;username;channel_name;replied_from;replied_from_name;message_text;lviews;posted_timestamp;edited_timestamp;activity_date;edit_counter;len_diff;emotional;is_ad;hashtags
20809;fontankaspb;Фонтанка.ру;;;"В Алтайском крае следователи возбудили еще одно уголовное дело после инцидента с пятилетним мальчиком, которого родители выставили голым на мороз. К ответственности планируют привлечь органы профилактики.

По данным следствия, должностные лица ПДН и КДН знали о том, что мать и ее сожитель периодически причиняют своим детям психические и физические страдания (у мальчика, попавшего на видео, есть братья в возрасте шести и полутора лет), но ничего не предпринимали.

Родителей задержали накануне. Расследование продолжается.
 
@fontankaspb";;2022-01-26 13:22:15.000;2022-01-26 13:23:48.000;2022-01-26 13:23:52.000;1;25;Undefined;1;
20533;banksta;Банкста;;;Несколько из 377 вопросов для знакомства с новыми сотрудниками банка Авангард, размещённые пользователем Pikabu. На некоторые вопросы стоило бы ответить и руководству банка. @banksta;;2022-01-26 13:21:53.000;2022-01-26 13:24:20.000;2022-01-26 13:24:23.000;1;18;Positive;1;
20533;banksta;Банкста;;;Вопросы для знакомства с новыми сотрудниками банка Авангард, размещённые пользователем Pikabu. На некоторые вопросы стоило бы отметить и руководству банка. @banksta;;2022-01-26 13:21:53.000;;2022-01-26 13:21:57.000;;;Positive;1;
7262;ria_realty;РИА Недвижимость;;;"Российское представительство издательского дома Cond? Nast арендовало 2,6 тысячи кв м в бизнес-центре ""Большевик"" на Ленинградском проспекте в Москве, рассказал @ria_realty источник на рынке недвижимости.

В компании O1 Properties, управляющей ""Большевиком"", подтвердили эту информацию.

Сейчас ""Cond? Nast Россия"" занимает площади в здании бывшего мехового холодильника на Большой Дмитровке. @ria_realty";;2022-01-26 13:19:35.000;;2022-01-26 13:19:35.000;;;Neutral;1;
4472;trubapodneglinnoy;Труба под Неглинной;;;"Сбер опередил Ferrari и стал самым сильным брендом Европы

Согласно отчёту Global 500 международной компании Brand Finance, банк занял первое место в Европе по показателю «Сила бренда», набрав 92,3 пункта из 100 возможных и получив наивысший рейтинг ААА+.

Годом ранее банк занимал 2-е место в Европе, уступая лишь Ferrari, но в этом году компании поменялись местами.

В общемировом рейтинге Сбер занял 6-м месте, перед ним — только WeChat, Coca-Cola, Google, YouTube и Naver (главный поисковый сайт Южной Кореи). Но опережает Pepsi и Amazon. 

Brand Finance оценил бренд ведущего банка и экосистемы страны в $12,8 млрд — на 36% больше, чем год назад, — что позволило Сберу занять 156-ю строчку в рейтинге самых дорогих брендов мира.

Старший вице-президент Сбербанка Владислав Крейнин связал полученные результаты с проведением огромной работы по развитию экосистемы и запуску инновационных сервисов после изменения бренда на ""Сбер», произошедшего в 2020 году.

? Будем держать руку на пульсе, а вы не переключайте канал!?
@trubapodneglinnoy";;2022-01-26 13:19:33.000;;2022-01-26 13:19:35.000;;;Positive;1;
9886;wearestroyka;Стройка;;;"Группа «Самолет» увеличила объем продаж недвижимости на 112% за год

Группа «Самолет» раскрыла итоги операционной деятельности и ключевые финансовые показатели за четвертый квартал 2021 года по данным неаудированной управленческой отчетности. Выручка и EBITDA группы за 2021 год выросли относительно прошлого года на 113% и 136% соответственно. По итогам года компания превзошла прогнозные значения по ключевым операционным и финансовым показателям, говорится в сообщении пресс-службы Группы.

Так, объем продаж недвижимости Группы в 2021 году вырос на 112% до 126,4 млрд руб. (804,6 тыс. кв. м) с 59,7 млрд руб. (489,4 тыс. кв. м) годом ранее. Объем продаж недвижимости с учетом результатов компании «СПБ Реновация», которая была приобретена в декабре 2021 года (и будет консолидирована в МСФО отчетности с 1 января 2022 года) составил 139,2 млрд руб. (896,8 тыс. кв. м).

Денежные поступления увеличились на 103% и достигли 119,3 млрд руб.

Общая площадь выведенной в продажу недвижимости составила 1 322 тыс. кв. м, что на 18% больше, чем годом ранее (1 082 тыс. кв. м). Продажи вторичной недвижимости по всей России составили 96 млрд руб.

Выручка компании по итогам 2021 года выросла на 113% до 131,0 млрд руб., превышение плана на 19%. Выручка с учетом результатов компании «СПБ Реновация» выросла на 134% до 144,2 млрд руб., рост относительно плановых показателей — 31%.

По итогам 4 квартал 2021 года объем продаж недвижимости вырос на 161% до 48,3 млрд руб. (299,0 тыс. кв. м) с 18,5 млрд руб. (138,0 тыс. кв. м) годом ранее. Денежные поступления увеличились на 151% и достигли 47,4 млрд руб.

@wearestroyka";;2022-01-26 13:18:05.000;;2022-01-26 13:18:06.000;;;Neutral;1;
19288;chpmoscow;ЧП / Москва;;;"? В Москве задержали блогера-лихача, публиковавшего в Сети видео с нарушением ПДД. 

Автоинспекторы оперативно получили информацию о его передвижениях и остановили авто с блогером 

Водителя задержали. В течении 2021 года он привлекался к административной ответственности 21 раз. В этот раз на него составили 7 протоколов. Молодой человек арестован на 11 суток.

@chpmoscow";;2022-01-26 13:12:06.000;;2022-01-26 13:12:10.000;;;Negative;1;
9885;wearestroyka;Стройка;;;"В ТАО на торги выставят земельный участок под ИЖС

Градостроительно-земельная комиссия города Москвы (ГЗК), возглавляемая мэром Москвы Сергеем Собяниным, на заседании 20 января 2022 года приняла решение о выставлении на торги земельного участка по адресу: пос. Михайлово-Ярцевское, д. Пудово-Сипягино, земельный участок 5А под размещение объекта индивидуального жилищного строительства (ИЖС), говорится в сообщении Москомстройинвеста.

Как рассказала Председатель Москомстройинвеста Анастасия Пятова, на торги будет выставлен земельный участок площадью 0,11 га.

«Там можно будет построить объект ИЖС суммарной поэтажной площадью около 440 кв. метров», — пояснила ответственный секретарь ГЗК.

Она отметила, что в настоящее время земельный участок свободен, подъездная дорога к нему имеется.

@wearestroyka";;2022-01-26 13:11:24.000;;2022-01-26 13:11:24.000;;;Positive;1;
12920;nedvizha;Недвижа;;;"Девелопер «Самолет» опубликовал результаты работы за прошлый год. Наработали на увеличение продаж и выручки больше чем в 2 раза, продали почти 900 тыс. кв. метров. Все показатели в плюсе ?
https://t.me/ria_realty/7260";;2022-01-26 13:10:39.000;;2022-01-26 13:10:39.000;;;Neutral;1;
20532;banksta;Банкста;;;"Сын певицы Валерии Арсений Шульгин грозится уехать из России в Дубай из-за доклада Центрального банка. Он считает, что запрет майнинга в России стал бы «полнейшим идиотизмом», так как в стране имеется огромный профицит генерации электроэнергии. В Дубае его якобы с радостью во фри-зоне, в которой при наличии лицензии дадут легально вести криптобизнес. Как уточнил Шульгин, с его команды в королевстве и налоги брать не будут. 

Ну так катись, дорогой. В двадцать лет Шульгин двигается на волне инфоцыганского бизнеса - сначала продавал левые семинары по предпринимательству, потом были франшизы мундштуков с леденцами, где опрокинул сотни человек. Ещё были опасные для здоровья китайские маски для омолежения. А теперь модная крипта с доходами в 150%. @banksta";;2022-01-26 13:09:58.000;;2022-01-26 13:09:59.000;;;Undefined;1;
7261;ria_realty;РИА Недвижимость;;;"???Объем сделок на первичном рынке элитного жилья Москвы в 2021 году вырос на 52% - до 170 млрд рублей, обновив прошлогодний рекорд, при этом результаты 2019 года превышены на 68%, говорится в сообщении консалтинговой компании Knight Frank.

?По количеству сделок элитный сегмент также вышел на исторический максимум: в прошлом году было заключено 1,6 тысячи сделок, что на 24% больше 2020 года и на на 38% - 2019-го.

?Средняя стоимость реализованного лота, по данным Knight Frank, выросла в 2021 году на 23% - до 105 млрд рублей. Средняя площадь сделки показала незначительный прирост в размере 1% и по итогам 2021 года составила 119 кв м.

????1??По спросу на первом месте остался район Дорогомилово, где в 2021 году заключена каждая четвертая сделка с покупкой элитных новостроек. 2??На втором месте с небольшим отрывом расположился Пресненский район, где, как и в прошлом году, сосредоточено 23% от всех реализованных квартир и апартаментов. 3??Замыкает тройку лидеров район Раменки с долей в 9%. @ria_realty";;2022-01-26 13:05:27.000;;2022-01-26 13:05:28.000;;;Positive;1;
14788;Jelezobetonniyzames;Железобетонный замес;;;Результаты публичных девелоперов чтиво всегда увлекательное. Тут вот коллеги собрали их операционные результаты за 21год  - любопытно?;;2022-01-26 13:02:01.000;;2022-01-26 13:02:02.000;;;Positive;1;
10848;propertyinsider;Недвижимость инсайды;;;"Собянин обещает +30 000 рабочих мест за ТТК в обмен на льготы застройщикам

Власти давно говорят про разгрузку центра для борьбы с пробками. Сравнительно новая программа ""Места приложения труда"" обещает льготы на ВРИ по строительству жилья при условии создания рабочих мест в спальных районах. Уже подписано 17 соглашений на 83 ярда частных инвестиций.

Обычно ""в нагрузку"" строят детсады, школы и больницы, но здесь из 30 тыс рабочих мест только 1 тыс приходится на социалку. 19,2 тыс - офисы, 9,5 тыс - производства.";;2022-01-26 13:02:00.000;;2022-01-26 13:02:02.000;;;Neutral;0;
25187;vchkogpu;ВЧК-ОГПУ;;;"Главный решальщик при Арбитражных судах Москвы и Московской области Загиров Фарид Велибекович знаком с мэром Махачкалы Салманом Дадаевым со времен работы последнего в Москве. С. Дадаев обращался к Загирову Ф. за помощью в решении своих или аффилированных с ним людей, судебных вопросов. Рабочие отношения переросли в дружеское общение.
 
31 января 2019 года Салман Дадаев был назначен мэром г. Махачкалы с контрактом на 5 лет. Буквально сразу же мэр начал «осваивать» городской бюджет с помощью своего друга.
 
21.04.2019 года был размещен тендер на сумму 81142000,00 рублей (№0103300019719000008), который выиграла аффилированная с Загировым Ф.В, компания ООО «СК Армада». Сумма – 68 564 990 р. По данному контракту были поданы несколько жалоб.
 
31.07.2019 – тендер (010330019719000016) на сумму 47706130,80 р, победителем которого стала ООО «СК Армада», сумма 47 000 000р.  Примечательно, что предложение второго участника ООО «Биг-Сервис» на 45 300 000 не прошло.
 
31.07.2019 – тендер (010330001971900017) на сумму 46 834 929 80 рублей также выигрывает ООО «СК Армада» с предложением на 46 100 000 рублей. Предложение второго участника ООО «Техстрой» на 42 151 436 рублей не принято.
 
03.08.2019 года был размещен тендер (0103300019719000018) на сумму 335748120,00 рублей на реконструкцию центральной площади г. Махачкалы. ООО «СК Армада» выиграла и этот тендер.
 
Загиров Фарид на данный момент числится ИП (ИНН 056113939718), занимающейся управлением объектами недвижимости, зарегистрированным в г. Махачкала.
 
У главы республики Дагестан есть вопросы к Салману Дадаев, например об освоении денег при реконструкции ул. Коркмасова в Махачкале.
 
Тендер на эту реконструкцию выиграла уже другая компания, не связанная с Загировым, которого мэр отодвинул от себя после ареста Меджидова Уллубия и опубликованной в ВЧК-ОГПУ информации о тендерах.";;2022-01-26 13:01:57.000;;2022-01-26 13:02:02.000;;;Undefined;1;
5643;novostroyman;Novostroyman. Москва. Недвижимость;;;"Реконструкция Шелепихинской набережной рядом с ЖК Sydney City от ГК ФСК закончится в 2024 году

В Москве не так много новостроек, которые располагаются в непосредственной близости к набережной. Среди них – уникальный ЖК Sydney City от ГК ФСК, который строится по стандарту Well, где на первое место выходит забота о самочувствии, физическом и ментальном благополучии человека. Протяженность набережной вдоль Sydney City составит 4 км, включая 400 м территории самого ЖК вдоль линии реки.

Работы по благоустройству Шелепихинской набережной город закончит в 2024 году.  Здесь появится 10 живописных маршрутов для велосипедных и пеших прогулок, на всем протяжении которых жители смогут посетить рестораны, кафе, магазины здорового питания.";;2022-01-26 13:01:31.000;;2022-01-26 13:01:32.000;;;Positive;0;
15931;moscowtop;Москва с огоньком;;;"Любишь кататься - люби и штрафы платить

Блогера-лихача задержали стражи порядка в Москве в тот момент, когда он выложил свои лихачества в сеть.

Ну ему не привыкать: за 2021 года парень уже привлекался к административной ответственности 21 раз. А теперь ему предстоит посидеть за решеткой 11 суток";;2022-01-26 13:01:11.000;;2022-01-26 13:01:12.000;;;Negative;0;
20808;fontankaspb;Фонтанка.ру;;;"Смольный объяснил отказ от эвакуации автомобилей, мешающих уборке.

«Считаю, что такая история как принудительная эвакуация или использование эвакуаторов для очистки города — крайне сложная, громоздкая. И [могут быть] серьезные юридические риски, потому что любая царапинка, которая была или будет <...> Практически по большинству случаев перемещения транспорта будем получать иски и вязнуть в судах», — заявил вице-губернатор Анатолий Повелий.

Пускай стоят

@fontankaspb";;2022-01-26 12:56:55.000;;2022-01-26 12:56:56.000;;;Undefined;1;
20808;fontankaspb;Фонтанка.ру;;;"Смольный объяснил отказ от эвакуации автомобилей, мешающих уборке.

После того как в городе появились дорожные знаки, которые временно запрещают парковку в определенных местах для своевременной уборки от снега, количество нарушителей снизилось, но их всё еще много.

«Считаю, что такая история как принудительная эвакуация или использование эвакуаторов для очистки города — крайне сложная, громоздкая. И [могут быть] серьезные юридические риски, потому что любая царапинка, которая была или будет <...> Практически по большинству случаев перемещения транспорта будем получать иски и вязнуть в судах», — заявил вице-губернатор Анатолий Повелий.

Пускай стоят

@fontankaspb";;2022-01-26 12:56:55.000;2022-01-26 13:00:08.000;2022-01-26 13:00:12.000;1;199;Undefined;1;
11935;cotlovan_contrust;КОТЛОВАНЪ;ipotekahouse;Ипотека и недвижимость;"??Росреестр рассказал о порядке получения сведений из Единого государственного реестра недвижимости (ЕГРН) через сайт Росреестра.

Росреестр напомнил, что выписки из ЕГРН отличаются друг от друга формой запроса и содержанием.

Вот какие основные выписки из ЕГРН сейчас есть:
??об основных характеристиках и правах на объект недвижимости.
??о переходе прав на объекты недвижимости.
??об объекте недвижимости с расширенными сведениями — например с подробностями об обременениях.
Вообще Росреестр предлагает 10 видов выписок ЕГРН (в картинке).

Порядок получения выписок из ЕГРН:
1?? На официальном сайте Росреестра выбираем вкладку «Электронные услуги и сервисы». Далее выбираем Представление сведений ЕГРН и там отмечаем необходимый вид выписки и переходим в личный кабинет или на портал «Госуслуги» для авторизации.
2?? После авторизации открывается предзаполненная (персональными данными) форма запроса, в которой необходимо заполнить обязательные поля, в том числе:
 ? указать точный адрес или кадастровый номер объекта недвижимости;
 ? выбрать категорию заявителя.
3?? После формирования запроса на электронную почту поступит уведомление о необходимости оплаты государственной услуги с указанием УИН. Счет на оплату поступит также в личный кабинет на портал «Госуслуги». Цена зависит от типа выписки. Информация о кадастровой стоимости объекта недвижимости предоставляется бесплатно. Срок предоставление выписки из ЕГРН составляет не более 3-х рабочих дней, но зачастую приходит в течение дня. Уведомление со ссылкой на электронные документы также поступит на электронную почту, указанную в запросе.
4?? Получение данных. Для того чтобы открыть полученные файлы в читаемом формате, необходимо воспользоваться сервисом «Проверка электронного документа».

В ведомстве обратили внимание, что выписка из ЕГРН, полученная в электронном формате, имеет такую же юридическую силу, как и бумажная выписка.

Выписки из ЕГРН также можно получить лично через центры государственных услуг «Мои документы».

@ipotekahouse";;2022-01-26 12:54:10.000;;2022-01-26 12:54:15.000;;;Positive;1;
11934;cotlovan_contrust;КОТЛОВАНЪ;rusipoteka;Ипотека в России. Новости и аналитика;"Рост ипотеки замедлится в этом году из-за повышения ставок до уровня, превышающего 10%, исчерпания платежеспособного спроса и низких темпов роста доходов населения, при этом ипотека останется драйвером роста кредитования в 2022 году, говорится в исследовании «Эксперт РА».

Рост цен на недвижимость окажет разнонаправленное влияние: с одной стороны, часть людей может отложить ее покупку, с другой — повысится средний чек ипотеки, что увеличит объем выдач и портфеля. В случае сворачивания льготной ипотеки во II полугодии 2022 года, выдачи льготных кредитов сократятся на 40%, составив около 1 трлн рублей по итогам 2022-го.

Портфель ипотечных кредитов вырастет в 2022 году в пределах 15–17% или 7-11% без учета поддержки госпрограмм против 27%  (или 34% с корректировкой на секьюритизацию) по итогам 2021-го. Помимо госпрограмм рост ипотеки будут стимулировать совместные программы банков и застройщиков по субсидированию ставок и развитие ипотеки на вторичном рынке, заключили специалисты. @rusipoteka";;2022-01-26 12:53:41.000;;2022-01-26 12:53:45.000;;;Neutral;1;
11933;cotlovan_contrust;КОТЛОВАНЪ;Jelezobetonniyzames;Железобетонный замес;В 2021 году в Москве заключено 127,63 тыс. ипотечных сделок на рынке жилья, на 22,5% больше год к году, подсчитали в столичном Росреестре.;;2022-01-26 12:52:03.000;;2022-01-26 12:52:04.000;;;Neutral;0;
20531;banksta;Банкста;ebitdaebitda;ЕБИТДА;"В правительстве готовятся к распространению системы маркировки на новые товарные группы. Минпромторг подготовил следующие предложения по срокам:

• Крепкий алкоголь и вино 

Эксперимент с 1 июня 2022 года по 31 августа 2023 года: вина виноградные натуральные, включая крепленые, вермуты и виноградные натуральные вина с добавлением растительных или ароматических веществ, спиртовые настойки, ликеры и др.

• Алкогольное и безалкогольное пиво 

Обязательная маркировка: с 1 сентября - безалкогольное пиво в спецупаковке, с 1 декабря - в другой упаковке. С этого времени ввод немаркированной продукции в оборот не допускается. Ту, что уже в обороте, можно будет реализовать в течение года с указанных дат (в пределах срока годности). 

• Консервы

Эксперимент: рыбные консервы - с 1 апреля 2022 года по 28 февраля 2023 года; мясные, овощные и фруктовые - с 1 мая 2022 года по 28 февраля 2023 года. 

• Корма для домашних животных (за исключением сельскохозяйственных)

Эксперимент с 1 мая 2022 года по 28 февраля 2023 года.

Как показывает практика, запуск системы маркировки для группы товаров означает существенное обеление розничной торговли в этом сегменте.

Например, если доля контрафактной табачной продукции стабильно росла на протяжении нескольких лет и достигла в 2019 году 15,6%, то по итогам 9 месяцев 2021 года она снизилась до 11,5%. И это несмотря на рост акцизов - главный стимул серого рынка.

Маркировку делает эффективным средством борьбы с контрафактом то, что в процессе контроля может участвовать любой покупатель со смартфоном. Расширение этой практики сделает бизнес в целом более чистым, а добросовестный бизнес - более прибыльным.";;2022-01-26 12:46:56.000;;2022-01-26 12:46:58.000;;;Positive;0;
4525;posadky;Посадки;;;"В Приморье возбуждены уголовные дела в отношении сотрудников администрации Пожарского района и муниципального Росреестра о незаконной продаже участков нацпарка ""Бикин"", созданного в 2015 году для сохранения лесов бассейна реки Бикин и обитающей там редкой полосатой кошки.
#чиновники #земельпользование #экология #Приморский_край";;2022-01-26 12:41:28.000;;2022-01-26 12:41:31.000;;;Positive;0;#чиновники, #земельпользование, #экология, #Приморский_край
11439;kompr;Компромат 2.0 :: Мы решаем, что является компроматом;pr_russia;Протестная Россия;"??Еще один поехавший кукухой депутат Госдуры Вассерман  заявил, что украинский народ ""сочинен искусственно"". И что, если перестать признавать существование украинского народа, то ""исчезнет и источник опасности.""

–Забавно, но предыдущие нацисты говорили то же самое про народ самого Вассермана.";;2022-01-26 12:34:20.000;;2022-01-26 12:34:25.000;;;Neutral;0;
